STATE,YEAR,HLTHIND,N,PCT,PCT95CILB,PCT95CIUB
Nebraska,2016,Unwanted pregnancy,1290,4.4,3.3,5.8
Nebraska,2017,Mistimed,,,,
Nebraska,2016,Unsure whether wanted pregnancy,1290,16.3,13.9,19
Nebraska,2016,Intended pregnancy,1290,61.1,57.9,64.3
New Hampshire,2016,Mistimed,563,14.4,11.2,18.3
New Hampshire,2016,Unwanted pregnancy,563,2.9,1.6,5
New Hampshire,2016,Unsure whether wanted pregnancy,563,12,9,15.8
New Hampshire,2016,Intended pregnancy,563,70.8,66,75.1
New Jersey,2016,Mistimed,1270,15.9,13.9,18.1
New Jersey,2016,Unwanted pregnancy,1270,6,4.8,7.5
New Jersey,2016,Unsure whether wanted pregnancy,1270,13.7,11.8,15.8
New Jersey,2016,Intended pregnancy,1270,64.4,61.6,67
New Mexico,2016,Mistimed,1157,15.9,13.9,18.1
New Mexico,2016,Unwanted pregnancy,1157,5.7,4.4,7.2
New Mexico,2016,Unsure whether wanted pregnancy,1157,20.4,18.2,22.9
New Mexico,2016,Intended pregnancy,1157,58,55.2,60.9
New York City,2016,Mistimed,1395,20.3,18.1,22.7
New York City,2016,Unwanted pregnancy,1395,4.5,3.5,5.9
New York City,2016,Unsure whether wanted pregnancy,1395,12.2,10.4,14.2
New York City,2016,Intended pregnancy,1395,63,60.2,65.7
New York,2016,Mistimed,939,18.3,15.4,21.7
New York,2016,Unwanted pregnancy,939,5.2,3.6,7.4
New York,2016,Unsure whether wanted pregnancy,939,13.6,11.1,16.7
New York,2016,Intended pregnancy,939,62.8,58.8,66.6
North Carolina,2016,Mistimed,,,,
North Carolina,2016,Unwanted pregnancy,,,,
North Carolina,2016,Unsure whether wanted pregnancy,,,,
North Carolina,2016,Intended pregnancy,,,,
North Dakota,2016,Mistimed,,,,
North Dakota,2016,Unwanted pregnancy,,,,
North Dakota,2016,Unsure whether wanted pregnancy,,,,
North Dakota,2016,Intended pregnancy,,,,
Oklahoma,2016,Mistimed,1835,19.8,17.4,22.5
Oklahoma,2016,Unwanted pregnancy,1835,8.7,6.9,10.8
Oklahoma,2016,Unsure whether wanted pregnancy,1835,17.5,15.2,20.2
Oklahoma,2016,Intended pregnancy,1835,53.9,50.6,57.3
Oregon,2016,Mistimed,,,,
Oregon,2016,Unwanted pregnancy,,,,
Oregon,2016,Unsure whether wanted pregnancy,,,,
Oregon,2016,Intended pregnancy,,,,
Pennsylvania,2016,Mistimed,1026,19.8,17,22.9
Pennsylvania,2016,Unwanted pregnancy,1026,5.6,4.2,7.6
Pennsylvania,2016,Unsure whether wanted pregnancy,1026,16.5,13.8,19.4
Pennsylvania,2016,Intended pregnancy,1026,58.1,54.5,61.7
Puerto Rico,2016,Mistimed,,,,
Puerto Rico,2016,Unwanted pregnancy,,,,
Puerto Rico,2016,Unsure whether wanted pregnancy,,,,
Puerto Rico,2016,Intended pregnancy,,,,
Rhode Island,2016,Mistimed,1134,16.9,14.6,19.4
Rhode Island,2016,Unwanted pregnancy,1134,4.8,3.6,6.4
Rhode Island,2016,Unsure whether wanted pregnancy,1134,16.9,14.6,19.4
Rhode Island,2016,Intended pregnancy,1134,61.4,58.2,64.4
South Dakota,2016,Mistimed,,,,
South Dakota,2016,Unwanted pregnancy,,,,
South Dakota,2016,Unsure whether wanted pregnancy,,,,
South Dakota,2016,Intended pregnancy,,,,
Tennessee,2016,Mistimed,,,,
Tennessee,2016,Unwanted pregnancy,,,,
Tennessee,2016,Unsure whether wanted pregnancy,,,,
Tennessee,2016,Intended pregnancy,,,,
Texas,2016,Mistimed,1821,22.9,20.6,25.4
Texas,2016,Unwanted pregnancy,1821,8,6.6,9.8
Texas,2016,Unsure whether wanted pregnancy,1821,14.3,12.4,16.4
Texas,2016,Intended pregnancy,1821,54.8,51.9,57.5
Utah,2016,Mistimed,1356,16.8,14.5,19.3
Utah,2016,Unwanted pregnancy,1356,3.6,2.5,5
Utah,2016,Unsure whether wanted pregnancy,1356,11.9,10.1,14.1
Utah,2016,Intended pregnancy,1356,67.8,64.7,70.6
Vermont,2016,Mistimed,900,17,14.6,19.8
Vermont,2016,Unwanted pregnancy,900,5.6,4.2,7.5
Vermont,2016,Unsure whether wanted pregnancy,900,14.4,12.2,16.9
Vermont,2016,Intended pregnancy,900,63,59.6,66.2
Virginia,2016,Mistimed,665,15.4,12.2,19.4
Virginia,2016,Unwanted pregnancy,665,6.2,4.1,9.2
Virginia,2016,Unsure whether wanted pregnancy,665,18.4,14.9,22.6
Virginia,2016,Intended pregnancy,665,60,55.1,64.7
Washington,2016,Mistimed,1235,15.2,12.8,17.9
Washington,2016,Unwanted pregnancy,1235,5.5,4.1,7.4
Washington,2016,Unsure whether wanted pregnancy,1235,14.2,11.9,17
Washington,2016,Intended pregnancy,1235,65.1,61.6,68.4
West Virginia,2016,Mistimed,797,14.6,11.9,17.7
West Virginia,2016,Unwanted pregnancy,797,4.7,3.3,6.7
West Virginia,2016,Unsure whether wanted pregnancy,797,20.9,17.7,24.5
West Virginia,2016,Intended pregnancy,797,59.8,55.7,63.9
Wisconsin,2016,Mistimed,1249,19.4,16.3,22.9
Wisconsin,2016,Unwanted pregnancy,1249,3.9,2.7,5.7
Wisconsin,2016,Unsure whether wanted pregnancy,1249,13.5,11.1,16.4
Wisconsin,2016,Intended pregnancy,1249,63.2,59.2,67
Wyoming,2016,Mistimed,608,21.9,18.2,26
Wyoming,2016,Unwanted pregnancy,608,3.4,2.1,5.4
Wyoming,2016,Unsure whether wanted pregnancy,608,15.9,12.8,19.7
Wyoming,2016,Intended pregnancy,608,58.8,54.1,63.3
Alabama,2017,Mistimed,873,24.3,21.4,27.5
Alabama,2017,Unwanted pregnancy,873,8.6,6.8,10.8
Alabama,2017,Unsure whether wanted pregnancy,873,17.7,15.2,20.6
Nebraska,2017,Unwanted pregnancy,,,,
Alabama,2017,Intended pregnancy,873,49.4,46,52.7
Alaska,2017,Mistimed,1030,16.6,14,19.6
Alaska,2017,Unwanted pregnancy,1030,5.2,3.7,7.2
Alaska,2017,Unsure whether wanted pregnancy,1030,19.7,16.9,22.7
Alaska,2017,Intended pregnancy,1030,58.5,54.8,62.2
Arizona,2017,Mistimed,,,,
Arizona,2017,Unwanted pregnancy,,,,
Arizona,2017,Unsure whether wanted pregnancy,,,,
Arizona,2017,Intended pregnancy,,,,
Arkansas,2017,Mistimed,,,,
Arkansas,2017,Unwanted pregnancy,,,,
Arkansas,2017,Unsure whether wanted pregnancy,,,,
Arkansas,2017,Intended pregnancy,,,,
Colorado,2017,Mistimed,1111,19.4,16.9,22
Colorado,2017,Unwanted pregnancy,1111,6.3,5,7.9
Colorado,2017,Unsure whether wanted pregnancy,1111,14.5,12.4,17
Colorado,2017,Intended pregnancy,1111,59.8,56.6,62.9
Connecticut,2017,Mistimed,1442,15.9,13.7,18.3
Connecticut,2017,Unwanted pregnancy,1442,4.2,3.1,5.6
Connecticut,2017,Unsure whether wanted pregnancy,1442,14.4,12.2,16.8
Connecticut,2017,Intended pregnancy,1442,65.6,62.4,68.6
Delaware,2017,Mistimed,883,19.2,16.6,22.1
Delaware,2017,Unwanted pregnancy,883,7.4,5.8,9.4
Delaware,2017,Unsure whether wanted pregnancy,883,15.8,13.5,18.5
Delaware,2017,Intended pregnancy,883,57.6,54.2,61
District of Columbia,2017,Mistimed,,,,
District of Columbia,2017,Unwanted pregnancy,,,,
District of Columbia,2017,Unsure whether wanted pregnancy,,,,
District of Columbia,2017,Intended pregnancy,,,,
Florida,2017,Mistimed,,,,
Florida,2017,Unwanted pregnancy,,,,
Florida,2017,Unsure whether wanted pregnancy,,,,
Florida,2017,Intended pregnancy,,,,
Georgia,2017,Mistimed,941,20.2,16.8,24.2
Georgia,2017,Unwanted pregnancy,941,8.4,6.2,11.3
Georgia,2017,Unsure whether wanted pregnancy,941,14.7,11.7,18.3
Georgia,2017,Intended pregnancy,941,56.7,52.1,61.1
Hawaii,2017,Mistimed,,,,
Hawaii,2017,Unwanted pregnancy,,,,
Hawaii,2017,Unsure whether wanted pregnancy,,,,
Hawaii,2017,Intended pregnancy,,,,
Illinois,2017,Mistimed,1216,18.7,16.3,21.3
Illinois,2017,Unwanted pregnancy,1216,8.4,6.8,10.4
Illinois,2017,Unsure whether wanted pregnancy,1216,15.7,13.6,18.2
Illinois,2017,Intended pregnancy,1216,57.2,54.1,60.3
Indiana,2017,Mistimed,,,,
Indiana,2017,Unwanted pregnancy,,,,
Indiana,2017,Unsure whether wanted pregnancy,,,,
Indiana,2017,Intended pregnancy,,,,
Iowa,2017,Mistimed,1016,17.2,14,21
Iowa,2017,Unwanted pregnancy,1016,3.8,2.4,5.8
Iowa,2017,Unsure whether wanted pregnancy,1016,13.5,10.6,16.9
Iowa,2017,Intended pregnancy,1016,65.6,61.1,69.8
Kansas,2017,Mistimed,976,21.6,18.4,25.3
Kansas,2017,Unwanted pregnancy,976,5.1,3.6,7.1
Kansas,2017,Unsure whether wanted pregnancy,976,13.1,10.5,16.2
Kansas,2017,Intended pregnancy,976,60.2,56.1,64.1
Kentucky,2017,Mistimed,683,20.3,16.8,24.3
Kentucky,2017,Unwanted pregnancy,683,5.9,4.2,8.4
Kentucky,2017,Unsure whether wanted pregnancy,683,17.6,14.1,21.6
Kentucky,2017,Intended pregnancy,683,56.3,51.5,60.9
Louisiana,2017,Mistimed,887,26.1,23.1,29.2
Louisiana,2017,Unwanted pregnancy,887,10.3,8.4,12.5
Louisiana,2017,Unsure whether wanted pregnancy,887,18.8,16.2,21.7
Louisiana,2017,Intended pregnancy,887,44.9,41.5,48.4
Maine,2017,Mistimed,860,15.2,12.6,18.2
Maine,2017,Unwanted pregnancy,860,5.2,3.7,7.2
Maine,2017,Unsure whether wanted pregnancy,860,14.4,11.8,17.4
Maine,2017,Intended pregnancy,860,65.2,61.4,68.8
Maryland,2017,Mistimed,1042,20.8,18.1,23.9
Maryland,2017,Unwanted pregnancy,1042,6,4.5,8
Maryland,2017,Unsure whether wanted pregnancy,1042,14.7,12.4,17.4
Maryland,2017,Intended pregnancy,1042,58.4,54.9,61.9
Massachusetts,2017,Mistimed,1412,14.9,12.7,17.4
Massachusetts,2017,Unwanted pregnancy,1412,4.8,3.5,6.4
Massachusetts,2017,Unsure whether wanted pregnancy,1412,14.2,11.9,16.7
Massachusetts,2017,Intended pregnancy,1412,66.2,63,69.3
Michigan,2017,Mistimed,1862,18.9,16.7,21.3
Michigan,2017,Unwanted pregnancy,1862,5.3,4.2,6.7
Michigan,2017,Unsure whether wanted pregnancy,1862,19.9,17.7,22.4
Michigan,2017,Intended pregnancy,1862,55.8,52.9,58.7
Minnesota,2017,Mistimed,,,,
Minnesota,2017,Unwanted pregnancy,,,,
Minnesota,2017,Unsure whether wanted pregnancy,,,,
Minnesota,2017,Intended pregnancy,,,,
Mississippi,2017,Mistimed,,,,
Mississippi,2017,Unwanted pregnancy,,,,
Mississippi,2017,Unsure whether wanted pregnancy,,,,
Mississippi,2017,Intended pregnancy,,,,
Missouri,2017,Mistimed,1085,21.4,18.6,24.4
Missouri,2017,Unwanted pregnancy,1085,6.9,5.3,8.9
Missouri,2017,Unsure whether wanted pregnancy,1085,18.2,15.6,21.1
Missouri,2017,Intended pregnancy,1085,53.5,50.1,57
Montana,2017,Mistimed,931,17.6,15.2,20.3
Montana,2017,Unwanted pregnancy,931,5.5,4.2,7.2
Montana,2017,Unsure whether wanted pregnancy,931,18.5,16.2,21
Montana,2017,Intended pregnancy,931,58.4,55.3,61.4
Nebraska,2017,Unsure whether wanted pregnancy,,,,
Nebraska,2017,Intended pregnancy,,,,
New Hampshire,2017,Mistimed,564,14.6,11.2,18.9
New Hampshire,2017,Unwanted pregnancy,564,3.6,2,6.5
New Hampshire,2017,Unsure whether wanted pregnancy,564,8.6,6,12
New Hampshire,2017,Intended pregnancy,564,73.2,68.2,77.7
New Jersey,2017,Mistimed,1216,16.8,14.7,19.1
New Jersey,2017,Unwanted pregnancy,1216,4.8,3.7,6.2
New Jersey,2017,Unsure whether wanted pregnancy,1216,14.7,12.7,16.9
New Jersey,2017,Intended pregnancy,1216,63.7,60.8,66.4
New Mexico,2017,Mistimed,1160,19,16.8,21.4
New Mexico,2017,Unwanted pregnancy,1160,6.6,5.3,8.3
New Mexico,2017,Unsure whether wanted pregnancy,1160,19.8,17.6,22.3
New Mexico,2017,Intended pregnancy,1160,54.5,51.6,57.4
New York City,2017,Mistimed,1256,19.9,17.6,22.4
New York City,2017,Unwanted pregnancy,1256,4.1,3,5.5
New York City,2017,Unsure whether wanted pregnancy,1256,13.9,11.9,16.1
New York City,2017,Intended pregnancy,1256,62.1,59.2,65
New York,2017,Mistimed,837,16.3,13.1,20.1
New York,2017,Unwanted pregnancy,837,3.7,2.3,6
New York,2017,Unsure whether wanted pregnancy,837,16.6,13.4,20.4
New York,2017,Intended pregnancy,837,63.4,58.8,67.7
North Carolina,2017,Mistimed,988,23.4,20.3,26.7
North Carolina,2017,Unwanted pregnancy,988,7.1,5.3,9.3
North Carolina,2017,Unsure whether wanted pregnancy,988,13.4,11,16.1
North Carolina,2017,Intended pregnancy,988,56.2,52.5,59.8
North Dakota,2017,Mistimed,581,18.2,14.8,22.3
North Dakota,2017,Unwanted pregnancy,581,6.9,4.8,9.8
North Dakota,2017,Unsure whether wanted pregnancy,581,18.6,15.1,22.7
North Dakota,2017,Intended pregnancy,581,56.3,51.4,61.1
Oklahoma,2017,Mistimed,1615,23.3,20.5,26.5
Oklahoma,2017,Unwanted pregnancy,1615,8.1,6.3,10.4
Oklahoma,2017,Unsure whether wanted pregnancy,1615,19.1,16.4,22.2
Oklahoma,2017,Intended pregnancy,1615,49.4,45.8,53
Oregon,2017,Mistimed,,,,
Oregon,2017,Unwanted pregnancy,,,,
Oregon,2017,Unsure whether wanted pregnancy,,,,
Oregon,2017,Intended pregnancy,,,,
Pennsylvania,2017,Mistimed,1211,21.8,19.1,24.8
Pennsylvania,2017,Unwanted pregnancy,1211,4.6,3.4,6.2
Pennsylvania,2017,Unsure whether wanted pregnancy,1211,16.2,13.8,18.9
Pennsylvania,2017,Intended pregnancy,1211,57.4,54,60.7
Puerto Rico,2017,Mistimed,1019,35.3,31.6,39.2
Puerto Rico,2017,Unwanted pregnancy,1019,10.1,8,12.8
Puerto Rico,2017,Unsure whether wanted pregnancy,1019,11,8.7,13.7
Puerto Rico,2017,Intended pregnancy,1019,43.6,39.8,47.6
Rhode Island,2017,Mistimed,1087,16.5,14.1,19.3
Rhode Island,2017,Unwanted pregnancy,1087,6.3,4.8,8.3
Rhode Island,2017,Unsure whether wanted pregnancy,1087,13.2,11,15.7
Rhode Island,2017,Intended pregnancy,1087,63.9,60.6,67.2
South Dakota,2017,Mistimed,1092,18,15.6,20.7
South Dakota,2017,Unwanted pregnancy,1092,6.8,5.4,8.6
South Dakota,2017,Unsure whether wanted pregnancy,1092,17.7,15.4,20.4
South Dakota,2017,Intended pregnancy,1092,57.4,54.1,60.6
Tennessee,2017,Mistimed,,,,
Tennessee,2017,Unwanted pregnancy,,,,
Tennessee,2017,Unsure whether wanted pregnancy,,,,
Tennessee,2017,Intended pregnancy,,,,
Texas,2017,Mistimed,,,,
Texas,2017,Unwanted pregnancy,,,,
Texas,2017,Unsure whether wanted pregnancy,,,,
Texas,2017,Intended pregnancy,,,,
Utah,2017,Mistimed,1415,17.3,14.9,19.9
Utah,2017,Unwanted pregnancy,1415,4.9,3.8,6.4
Utah,2017,Unsure whether wanted pregnancy,1415,12.5,10.5,14.8
Utah,2017,Intended pregnancy,1415,65.3,62.1,68.3
Vermont,2017,Mistimed,831,14.8,12.4,17.7
Vermont,2017,Unwanted pregnancy,831,4.5,3.2,6.2
Vermont,2017,Unsure whether wanted pregnancy,831,14,11.7,16.7
Vermont,2017,Intended pregnancy,831,66.7,63.2,70
Virginia,2017,Mistimed,1057,17.3,13.8,21.5
Virginia,2017,Unwanted pregnancy,1057,5.9,4,8.6
Virginia,2017,Unsure whether wanted pregnancy,1057,12.7,9.7,16.3
Virginia,2017,Intended pregnancy,1057,64.1,59.3,68.7
Washington,2017,Mistimed,1217,17.2,14.7,20
Washington,2017,Unwanted pregnancy,1217,4.2,3,5.9
Washington,2017,Unsure whether wanted pregnancy,1217,14.1,11.8,16.8
Washington,2017,Intended pregnancy,1217,64.5,61.1,67.8
West Virginia,2017,Mistimed,685,17,13.9,20.5
West Virginia,2017,Unwanted pregnancy,685,8.7,6.4,11.6
West Virginia,2017,Unsure whether wanted pregnancy,685,19.4,16.2,23.1
West Virginia,2017,Intended pregnancy,685,55,50.5,59.3
Wisconsin,2017,Mistimed,1327,16.6,14,19.7
Wisconsin,2017,Unwanted pregnancy,1327,6.7,5,9
Wisconsin,2017,Unsure whether wanted pregnancy,1327,14.6,12,17.5
Wisconsin,2017,Intended pregnancy,1327,62.1,58.2,65.9
Wyoming,2017,Mistimed,493,19.1,15.2,23.6
Wyoming,2017,Unwanted pregnancy,493,7.1,4.9,10.1
Wyoming,2017,Unsure whether wanted pregnancy,493,13.8,10.6,17.8
Wyoming,2017,Intended pregnancy,493,60.1,54.9,65
Alabama,2018,Mistimed,801,21.7,18.9,24.9
Alabama,2018,Unwanted pregnancy,801,7.3,5.7,9.4
Alabama,2018,Unsure whether wanted pregnancy,801,17.3,14.7,20.2
Alabama,2018,Intended pregnancy,801,53.6,50.1,57.1
Alaska,2018,Mistimed,989,13.9,11.6,16.7
Alaska,2018,Unwanted pregnancy,989,6.1,4.6,8.1
Alaska,2018,Unsure whether wanted pregnancy,989,21.3,18.5,24.3
Alaska,2018,Intended pregnancy,989,58.7,55.1,62.2
Arizona,2018,Mistimed,,,,
Arizona,2018,Unwanted pregnancy,,,,
Arizona,2018,Unsure whether wanted pregnancy,,,,
Arizona,2018,Intended pregnancy,,,,
Arkansas,2018,Mistimed,892,19.6,15.7,24.2
Arkansas,2018,Unwanted pregnancy,892,8.8,6.4,12.1
Arkansas,2018,Unsure whether wanted pregnancy,892,19.2,15.4,23.6
Arkansas,2018,Intended pregnancy,892,52.5,47.2,57.7
Colorado,2018,Mistimed,1116,18.2,15.6,21.1
Colorado,2018,Unwanted pregnancy,1116,6.1,4.5,8.3
Colorado,2018,Unsure whether wanted pregnancy,1116,13.5,11.3,16.1
Colorado,2018,Intended pregnancy,1116,62.1,58.6,65.5
Connecticut,2018,Mistimed,1405,16.3,13.9,19.1
Connecticut,2018,Unwanted pregnancy,1405,4.3,3.3,5.6
Connecticut,2018,Unsure whether wanted pregnancy,1405,15.6,13.2,18.3
Connecticut,2018,Intended pregnancy,1405,63.8,60.4,67
Delaware,2018,Mistimed,842,20.1,17.3,23.2
Delaware,2018,Unwanted pregnancy,842,6.9,5.3,8.9
Delaware,2018,Unsure whether wanted pregnancy,842,17.7,15.1,20.6
Delaware,2018,Intended pregnancy,842,55.3,51.7,58.8
District of Columbia,2018,Mistimed,511,16.5,13.2,20.3
District of Columbia,2018,Unwanted pregnancy,511,5.1,3.4,7.5
District of Columbia,2018,Unsure whether wanted pregnancy,511,17.4,14,21.5
District of Columbia,2018,Intended pregnancy,511,61,56.2,65.7
Florida,2018,Mistimed,,,,
Florida,2018,Unwanted pregnancy,,,,
Florida,2018,Unsure whether wanted pregnancy,,,,
Florida,2018,Intended pregnancy,,,,
Georgia,2018,Mistimed,754,22.6,18.9,26.7
Georgia,2018,Unwanted pregnancy,754,9.6,7.1,12.7
Georgia,2018,Unsure whether wanted pregnancy,754,16.6,13.5,20.3
Georgia,2018,Intended pregnancy,754,51.3,46.7,55.9
Hawaii,2018,Mistimed,1047,17.9,14.9,21.4
Hawaii,2018,Unwanted pregnancy,1047,5.4,3.8,7.7
Hawaii,2018,Unsure whether wanted pregnancy,1047,20.4,17.2,24.1
Hawaii,2018,Intended pregnancy,1047,56.3,52,60.4
Illinois,2018,Mistimed,1298,17.6,15.5,20.1
Illinois,2018,Unwanted pregnancy,1298,8.1,6.6,9.9
Illinois,2018,Unsure whether wanted pregnancy,1298,16.3,14.2,18.7
Illinois,2018,Intended pregnancy,1298,57.9,54.9,60.8
Indiana,2018,Mistimed,849,29.2,25.2,33.6
Indiana,2018,Unwanted pregnancy,849,7.2,5.3,9.7
Indiana,2018,Unsure whether wanted pregnancy,849,15.9,12.9,19.5
Indiana,2018,Intended pregnancy,849,47.7,43.3,52.1
Iowa,2018,Mistimed,844,14.4,11.2,18.3
Iowa,2018,Unwanted pregnancy,844,6.2,4,9.4
Iowa,2018,Unsure whether wanted pregnancy,844,16,12.4,20.4
Iowa,2018,Intended pregnancy,844,63.5,58.2,68.4
Kansas,2018,Mistimed,955,17.6,14.6,21.2
Kansas,2018,Unwanted pregnancy,955,5.5,3.9,7.8
Kansas,2018,Unsure whether wanted pregnancy,955,16.6,13.5,20.1
Kansas,2018,Intended pregnancy,955,60.3,56,64.4
Kentucky,2018,Mistimed,741,16.4,13.3,20
Kentucky,2018,Unwanted pregnancy,741,9.3,6.8,12.5
Kentucky,2018,Unsure whether wanted pregnancy,741,17,13.8,20.9
Kentucky,2018,Intended pregnancy,741,57.4,52.6,61.9
Louisiana,2018,Mistimed,851,25.5,22.6,28.6
Louisiana,2018,Unwanted pregnancy,851,9.6,7.7,11.9
Louisiana,2018,Unsure whether wanted pregnancy,851,15.2,12.8,17.9
Louisiana,2018,Intended pregnancy,851,49.7,46.2,53.3
Maine,2018,Mistimed,808,15,12.3,18.2
Maine,2018,Unwanted pregnancy,808,4.4,3,6.4
Maine,2018,Unsure whether wanted pregnancy,808,13.2,10.5,16.3
Maine,2018,Intended pregnancy,808,67.5,63.5,71.2
Maryland,2018,Mistimed,1015,18.9,16,22.2
Maryland,2018,Unwanted pregnancy,1015,7.6,5.8,10
Maryland,2018,Unsure whether wanted pregnancy,1015,12.8,10.4,15.7
Maryland,2018,Intended pregnancy,1015,60.7,56.8,64.4
Massachusetts,2018,Mistimed,1424,14.3,12.2,16.6
Massachusetts,2018,Unwanted pregnancy,1424,4.6,3.5,6.2
Massachusetts,2018,Unsure whether wanted pregnancy,1424,12.8,10.7,15.3
Massachusetts,2018,Intended pregnancy,1424,68.3,65.1,71.2
